Idade,Renda_Mensal,Gasto_Internet,Regiao,Genero,Plano_Atual,Motivo_Troca,Ocupacao
51.0,1522.0,263.0,Sudeste,Masculino,Basico,Atendimento Ruim,Professor
18.0,7662.0,151.0,Sudeste,Feminino,Nao especificado,Cobertura Ruim,Autônomo
43.0,16408.0,263.0,Desconhecido,Feminino,Intermediario,Cobertura Ruim,Autônomo
36.0,6811.0,263.0,Norte,Feminino,Nao especificado,Atendimento Ruim,Professor
34.0,7662.0,263.0,Sudeste,Masculino,Basico,Cobertura Ruim,Professor
68.0,3320.0,178.0,Nordeste,Masculino,Nao especificado,Atendimento Ruim,Desempregado
29.0,6824.0,229.0,Sul,Desconhecido,Basico,Preco Alto,Desempregado
59.0,11579.0,300.0,Sudeste,Masculino,Nao especificado,Atendimento Ruim,Professor
42.0,3382.0,263.0,Sul,Feminino,Premium,Cobertura Ruim,Desempregado
43.0,7001.0,389.0,Norte,Masculino,Nao especificado,Atendimento Ruim,Desempregado
55.0,1482.0,283.0,Desconhecido,Desconhecido,Intermediario,Preco Alto,Desempregado
26.0,7375.0,263.0,Desconhecido,Feminino,Premium,Cobertura Ruim,Professor
42.0,17361.0,271.0,Nordeste,Feminino,Basico,Atendimento Ruim,Professor
20.0,7662.0,263.0,Sudeste,Feminino,Nao especificado,Cobertura Ruim,Autônomo
51.0,6907.0,203.0,Sudeste,Desconhecido,Premium,Atendimento Ruim,Professor
21.0,3377.0,188.0,Sudeste,Masculino,Intermediario,Preco Alto,Professor
43.0,3886.0,218.0,Sudeste,Masculino,Basico,Atendimento Ruim,Desempregado
61.0,7662.0,98.0,Desconhecido,Feminino,Premium,Atendimento Ruim,Desempregado
41.0,7662.0,289.0,Sudeste,Feminino,Intermediario,Atendimento Ruim,Autônomo
29.0,2298.0,85.0,Desconhecido,Desconhecido,Intermediario,Cobertura Ruim,Professor
47.0,6188.0,263.0,Desconhecido,Desconhecido,Nao especificado,Cobertura Ruim,Professor
44.0,13656.0,361.0,Sudeste,Desconhecido,Nao especificado,Preco Alto,Professor
43.0,12717.0,261.0,Norte,Masculino,Intermediario,Cobertura Ruim,Professor
65.0,9286.0,387.0,Nordeste,Desconhecido,Basico,Atendimento Ruim,Autônomo
56.0,7662.0,263.0,Centro-Oeste,Masculino,Nao especificado,Cobertura Ruim,Desempregado
27.0,2465.0,216.0,Nordeste,Desconhecido,Premium,Cobertura Ruim,Autônomo
43.0,7662.0,303.0,Centro-Oeste,Feminino,Intermediario,Cobertura Ruim,Autônomo
23.0,8201.0,211.0,Sudeste,Feminino,Premium,Preco Alto,Desempregado
32.0,5734.0,248.0,Centro-Oeste,Masculino,Basico,Atendimento Ruim,Professor
70.0,1560.0,263.0,Desconhecido,Masculino,Basico,Atendimento Ruim,Desempregado
41.0,14882.0,107.0,Sudeste,Desconhecido,Nao especificado,Cobertura Ruim,Professor
43.0,11221.0,396.0,Sudeste,Feminino,Nao especificado,Atendimento Ruim,Professor
27.0,5451.0,154.0,Sudeste,Masculino,Basico,Preco Alto,Desempregado
30.0,2565.0,345.0,Sul,Feminino,Basico,Preco Alto,Autônomo
43.0,9633.0,350.0,Norte,Masculino,Nao especificado,Cobertura Ruim,Professor
18.0,5739.0,263.0,Sudeste,Feminino,Nao especificado,Preco Alto,Professor
55.0,4558.0,343.0,Sudeste,Feminino,Basico,Atendimento Ruim,Professor
48.0,12936.0,149.0,Nordeste,Feminino,Basico,Preco Alto,Professor
46.0,5481.0,307.0,Desconhecido,Feminino,Premium,Cobertura Ruim,Professor
48.0,3045.0,273.0,Norte,Desconhecido,Premium,Cobertura Ruim,Autônomo
55.0,7427.0,458.0,Desconhecido,Feminino,Nao especificado,Atendimento Ruim,Professor
43.0,15650.0,340.0,Sul,Feminino,Basico,Preco Alto,Professor
39.0,16188.0,263.0,Norte,Feminino,Nao especificado,Atendimento Ruim,Professor
43.0,16180.0,306.0,Norte,Masculino,Basico,Cobertura Ruim,Desempregado
43.0,6657.0,248.0,Sul,Masculino,Intermediario,Preco Alto,Autônomo
54.0,7662.0,268.0,Nordeste,Feminino,Nao especificado,Preco Alto,Professor
63.0,16202.0,263.0,Sudeste,Masculino,Intermediario,Cobertura Ruim,Desempregado
19.0,7147.0,263.0,Desconhecido,Feminino,Basico,Cobertura Ruim,Autônomo
45.0,5361.0,263.0,Nordeste,Masculino,Premium,Preco Alto,Desempregado
70.0,12442.0,118.0,Nordeste,Masculino,Basico,Cobertura Ruim,Desempregado
43.0,17578.0,426.0,Sudeste,Feminino,Basico,Cobertura Ruim,Desempregado
62.0,19294.0,471.0,Desconhecido,Desconhecido,Premium,Cobertura Ruim,Desempregado
43.0,7662.0,387.0,Desconhecido,Feminino,Nao especificado,Preco Alto,Desempregado
43.0,18889.0,355.0,Desconhecido,Desconhecido,Basico,Atendimento Ruim,Autônomo
63.0,7651.0,471.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Professor
40.0,5200.0,178.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Desempregado
43.0,19706.0,181.0,Sudeste,Desconhecido,Basico,Preco Alto,Professor
22.0,16901.0,259.0,Sul,Desconhecido,Basico,Cobertura Ruim,Desempregado
20.0,12200.0,55.0,Norte,Masculino,Premium,Atendimento Ruim,Autônomo
43.0,17336.0,482.0,Desconhecido,Masculino,Intermediario,Atendimento Ruim,Desempregado
61.0,7662.0,75.0,Centro-Oeste,Desconhecido,Premium,Cobertura Ruim,Desempregado
66.0,6904.0,295.0,Desconhecido,Feminino,Basico,Cobertura Ruim,Autônomo
50.0,18683.0,220.0,Nordeste,Feminino,Nao especificado,Preco Alto,Professor
60.0,19068.0,129.0,Desconhecido,Masculino,Premium,Cobertura Ruim,Professor
55.0,5304.0,69.0,Centro-Oeste,Masculino,Basico,Cobertura Ruim,Professor
53.0,5814.0,192.0,Sudeste,Masculino,Basico,Preco Alto,Professor
57.0,7662.0,263.0,Desconhecido,Masculino,Nao especificado,Atendimento Ruim,Desempregado
43.0,15490.0,263.0,Sudeste,Masculino,Basico,Atendimento Ruim,Professor
41.0,14704.0,263.0,Desconhecido,Masculino,Basico,Atendimento Ruim,Professor
27.0,7662.0,123.0,Nordeste,Masculino,Intermediario,Cobertura Ruim,Autônomo
61.0,7219.0,381.0,Desconhecido,Outro,Basico,Atendimento Ruim,Desempregado
20.0,13324.0,263.0,Desconhecido,Masculino,Basico,Atendimento Ruim,Desempregado
33.0,7662.0,420.0,Nordeste,Masculino,Premium,Cobertura Ruim,Desempregado
44.0,4125.0,417.0,Desconhecido,Desconhecido,Basico,Atendimento Ruim,Professor
69.0,10377.0,263.0,Nordeste,Masculino,Nao especificado,Cobertura Ruim,Professor
43.0,8529.0,399.0,Sul,Masculino,Intermediario,Preco Alto,Professor
37.0,13478.0,177.0,Sudeste,Masculino,Basico,Preco Alto,Professor
53.0,12276.0,292.0,Sul,Masculino,Nao especificado,Cobertura Ruim,Desempregado
43.0,7662.0,273.0,Sudeste,Masculino,Nao especificado,Atendimento Ruim,Desempregado
45.0,5265.0,268.0,Centro-Oeste,Masculino,Intermediario,Cobertura Ruim,Professor
41.0,7662.0,202.0,Sul,Masculino,Basico,Cobertura Ruim,Professor
43.0,15060.0,175.0,Sudeste,Feminino,Basico,Cobertura Ruim,Professor
35.0,5892.0,354.0,Nordeste,Masculino,Nao especificado,Cobertura Ruim,Professor
65.0,4966.0,263.0,Norte,Feminino,Nao especificado,Cobertura Ruim,Professor
58.0,5591.0,88.0,Desconhecido,Masculino,Nao especificado,Cobertura Ruim,Autônomo
70.0,7662.0,228.0,Desconhecido,Desconhecido,Nao especificado,Atendimento Ruim,Professor
47.0,14247.0,368.0,Nordeste,Masculino,Nao especificado,Atendimento Ruim,Autônomo
43.0,12776.0,263.0,Desconhecido,Desconhecido,Nao especificado,Atendimento Ruim,Desempregado
34.0,8656.0,278.0,Sudeste,Desconhecido,Basico,Atendimento Ruim,Autônomo
33.0,12800.0,418.0,Sudeste,Masculino,Nao especificado,Atendimento Ruim,Desempregado
43.0,6051.0,69.0,Sudeste,Masculino,Premium,Cobertura Ruim,Professor
55.0,1324.0,251.0,Sudeste,Feminino,Basico,Atendimento Ruim,Desempregado
43.0,16508.0,152.0,Desconhecido,Desconhecido,Basico,Atendimento Ruim,Professor
47.0,6677.0,291.0,Sul,Masculino,Basico,Cobertura Ruim,Professor
43.0,7662.0,460.0,Nordeste,Feminino,Basico,Atendimento Ruim,Desempregado
36.0,13636.0,55.0,Centro-Oeste,Masculino,Nao especificado,Cobertura Ruim,Professor
20.0,5579.0,329.0,Norte,Feminino,Basico,Preco Alto,Desempregado
32.0,4006.0,393.0,Sul,Masculino,Basico,Atendimento Ruim,Desempregado
47.0,1665.0,368.0,Sudeste,Desconhecido,Basico,Cobertura Ruim,Autônomo
59.0,7662.0,263.0,Desconhecido,Desconhecido,Premium,Preco Alto,Professor
57.0,7245.0,164.0,Desconhecido,Feminino,Premium,Atendimento Ruim,Autônomo
43.0,3371.0,263.0,Sudeste,Feminino,Premium,Preco Alto,Desempregado
21.0,13858.0,116.0,Sul,Desconhecido,Intermediario,Cobertura Ruim,Professor
62.0,17151.0,361.0,Sudeste,Masculino,Intermediario,Cobertura Ruim,Professor
22.0,8029.0,263.0,Nordeste,Feminino,Basico,Atendimento Ruim,Autônomo
38.0,1679.0,263.0,Sudeste,Masculino,Basico,Cobertura Ruim,Autônomo
43.0,1324.0,222.0,Nordeste,Feminino,Basico,Cobertura Ruim,Autônomo
46.0,4402.0,140.0,Desconhecido,Desconhecido,Premium,Preco Alto,Professor
37.0,7662.0,355.0,Sudeste,Feminino,Nao especificado,Atendimento Ruim,Professor
30.0,7899.0,307.0,Centro-Oeste,Masculino,Nao especificado,Atendimento Ruim,Desempregado
47.0,5831.0,137.0,Desconhecido,Masculino,Basico,Atendimento Ruim,Professor
37.0,11086.0,263.0,Desconhecido,Feminino,Nao especificado,Cobertura Ruim,Autônomo
27.0,9461.0,206.0,Nordeste,Feminino,Intermediario,Atendimento Ruim,Autônomo
43.0,17629.0,322.0,Nordeste,Feminino,Nao especificado,Atendimento Ruim,Desempregado
61.0,9775.0,74.0,Sul,Desconhecido,Intermediario,Preco Alto,Desempregado
70.0,7662.0,248.0,Nordeste,Feminino,Basico,Preco Alto,Desempregado
29.0,15528.0,482.0,Desconhecido,Desconhecido,Basico,Cobertura Ruim,Desempregado
22.0,3886.0,442.0,Sudeste,Desconhecido,Intermediario,Cobertura Ruim,Desempregado
44.0,7662.0,179.0,Desconhecido,Desconhecido,Basico,Atendimento Ruim,Professor
60.0,14511.0,438.0,Nordeste,Masculino,Nao especificado,Cobertura Ruim,Professor
43.0,6929.0,201.0,Desconhecido,Feminino,Basico,Atendimento Ruim,Professor
43.0,7662.0,263.0,Desconhecido,Feminino,Basico,Atendimento Ruim,Autônomo
27.0,7662.0,263.0,Desconhecido,Desconhecido,Nao especificado,Atendimento Ruim,Desempregado
43.0,10112.0,219.0,Sul,Masculino,Premium,Cobertura Ruim,Desempregado
43.0,15002.0,263.0,Norte,Feminino,Nao especificado,Cobertura Ruim,Professor
65.0,15178.0,261.0,Desconhecido,Desconhecido,Basico,Cobertura Ruim,Professor
43.0,2842.0,209.0,Nordeste,Masculino,Premium,Preco Alto,Professor
36.0,11218.0,197.0,Norte,Feminino,Basico,Preco Alto,Professor
43.0,18796.0,469.0,Desconhecido,Feminino,Nao especificado,Preco Alto,Autônomo
28.0,7407.0,376.0,Centro-Oeste,Masculino,Premium,Preco Alto,Autônomo
22.0,13208.0,263.0,Desconhecido,Desconhecido,Premium,Cobertura Ruim,Professor
67.0,9012.0,189.0,Sudeste,Feminino,Basico,Atendimento Ruim,Desempregado
35.0,3917.0,176.0,Nordeste,Feminino,Nao especificado,Atendimento Ruim,Autônomo
67.0,3795.0,263.0,Nordeste,Feminino,Nao especificado,Cobertura Ruim,Desempregado
49.0,6821.0,136.0,Nordeste,Feminino,Basico,Cobertura Ruim,Professor
69.0,7444.0,261.0,Nordeste,Feminino,Premium,Preco Alto,Professor
43.0,7700.0,81.0,Norte,Feminino,Intermediario,Cobertura Ruim,Professor
24.0,18859.0,58.0,Sudeste,Feminino,Intermediario,Cobertura Ruim,Professor
62.0,2591.0,303.0,Sudeste,Masculino,Intermediario,Atendimento Ruim,Professor
26.0,6145.0,118.0,Norte,Desconhecido,Intermediario,Cobertura Ruim,Autônomo
43.0,7844.0,420.0,Nordeste,Masculino,Basico,Preco Alto,Professor
43.0,19065.0,132.0,Nordeste,Masculino,Basico,Cobertura Ruim,Professor
53.0,7715.0,279.0,Nordeste,Feminino,Intermediario,Cobertura Ruim,Desempregado
56.0,7662.0,333.0,Sudeste,Desconhecido,Basico,Cobertura Ruim,Professor
59.0,13642.0,263.0,Desconhecido,Desconhecido,Intermediario,Cobertura Ruim,Autônomo
61.0,9005.0,443.0,Sudeste,Feminino,Basico,Cobertura Ruim,Desempregado
61.0,2977.0,260.0,Norte,Feminino,Basico,Preco Alto,Desempregado
43.0,4094.0,208.0,Sul,Desconhecido,Basico,Cobertura Ruim,Professor
64.0,4365.0,449.0,Sul,Feminino,Basico,Cobertura Ruim,Professor
54.0,1810.0,427.0,Sul,Feminino,Premium,Preco Alto,Professor
43.0,6128.0,263.0,Desconhecido,Masculino,Intermediario,Atendimento Ruim,Professor
70.0,10122.0,200.0,Centro-Oeste,Masculino,Nao especificado,Atendimento Ruim,Autônomo
24.0,3149.0,263.0,Desconhecido,Masculino,Nao especificado,Preco Alto,Professor
37.0,3539.0,340.0,Sudeste,Masculino,Intermediario,Atendimento Ruim,Professor
59.0,7662.0,168.0,Sul,Feminino,Premium,Preco Alto,Professor
23.0,3466.0,264.0,Centro-Oeste,Feminino,Intermediario,Cobertura Ruim,Professor
45.0,3036.0,263.0,Desconhecido,Masculino,Basico,Preco Alto,Desempregado
62.0,19439.0,263.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Autônomo
19.0,1506.0,263.0,Centro-Oeste,Masculino,Basico,Cobertura Ruim,Professor
43.0,5446.0,263.0,Sudeste,Feminino,Nao especificado,Preco Alto,Professor
69.0,1763.0,263.0,Desconhecido,Desconhecido,Basico,Preco Alto,Desempregado
35.0,15893.0,252.0,Desconhecido,Feminino,Basico,Cobertura Ruim,Professor
57.0,7662.0,96.0,Nordeste,Feminino,Basico,Cobertura Ruim,Professor
25.0,7662.0,415.0,Desconhecido,Desconhecido,Nao especificado,Preco Alto,Autônomo
43.0,10245.0,141.0,Desconhecido,Desconhecido,Premium,Cobertura Ruim,Professor
42.0,2880.0,263.0,Nordeste,Masculino,Basico,Cobertura Ruim,Professor
62.0,7606.0,263.0,Sudeste,Feminino,Basico,Preco Alto,Professor
30.0,11616.0,369.0,Sudeste,Masculino,Basico,Cobertura Ruim,Professor
43.0,3203.0,343.0,Centro-Oeste,Desconhecido,Basico,Cobertura Ruim,Desempregado
58.0,7662.0,246.0,Sudeste,Feminino,Premium,Atendimento Ruim,Desempregado
30.0,7120.0,263.0,Sul,Desconhecido,Basico,Preco Alto,Desempregado
60.0,17864.0,263.0,Desconhecido,Masculino,Intermediario,Cobertura Ruim,Professor
68.0,19891.0,263.0,Sudeste,Feminino,Intermediario,Cobertura Ruim,Autônomo
48.0,11237.0,247.0,Nordeste,Feminino,Nao especificado,Atendimento Ruim,Professor
58.0,7662.0,254.0,Norte,Feminino,Basico,Atendimento Ruim,Professor
45.0,11045.0,165.0,Sudeste,Feminino,Intermediario,Atendimento Ruim,Professor
43.0,16863.0,263.0,Nordeste,Outro,Nao especificado,Atendimento Ruim,Professor
18.0,6814.0,263.0,Centro-Oeste,Masculino,Nao especificado,Preco Alto,Desempregado
43.0,10058.0,263.0,Centro-Oeste,Desconhecido,Intermediario,Cobertura Ruim,Professor
43.0,16074.0,263.0,Nordeste,Feminino,Basico,Cobertura Ruim,Desempregado
43.0,17923.0,417.0,Nordeste,Desconhecido,Nao especificado,Cobertura Ruim,Professor
28.0,1633.0,392.0,Sudeste,Desconhecido,Intermediario,Cobertura Ruim,Professor
32.0,2638.0,414.0,Desconhecido,Feminino,Intermediario,Preco Alto,Professor
56.0,1324.0,491.0,Sudeste,Feminino,Basico,Atendimento Ruim,Professor
43.0,9057.0,402.0,Sul,Feminino,Basico,Preco Alto,Professor
43.0,19752.0,194.0,Desconhecido,Masculino,Premium,Cobertura Ruim,Professor
32.0,14741.0,408.0,Centro-Oeste,Masculino,Intermediario,Cobertura Ruim,Desempregado
43.0,15388.0,263.0,Sul,Outro,Basico,Cobertura Ruim,Autônomo
70.0,6216.0,263.0,Sudeste,Feminino,Basico,Cobertura Ruim,Autônomo
62.0,4585.0,395.0,Desconhecido,Feminino,Premium,Cobertura Ruim,Desempregado
33.0,9812.0,208.0,Sudeste,Feminino,Intermediario,Cobertura Ruim,Autônomo
37.0,16933.0,70.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Professor
43.0,13044.0,355.0,Sul,Desconhecido,Basico,Atendimento Ruim,Autônomo
64.0,7307.0,263.0,Nordeste,Feminino,Nao especificado,Cobertura Ruim,Professor
27.0,13741.0,463.0,Desconhecido,Desconhecido,Nao especificado,Atendimento Ruim,Professor
43.0,7662.0,396.0,Sudeste,Feminino,Intermediario,Atendimento Ruim,Professor
34.0,7662.0,467.0,Desconhecido,Feminino,Intermediario,Preco Alto,Professor
43.0,7662.0,408.0,Desconhecido,Masculino,Nao especificado,Atendimento Ruim,Desempregado
18.0,2832.0,73.0,Desconhecido,Masculino,Intermediario,Atendimento Ruim,Autônomo
70.0,7280.0,263.0,Sul,Desconhecido,Intermediario,Cobertura Ruim,Desempregado
56.0,7662.0,214.0,Nordeste,Outro,Basico,Atendimento Ruim,Desempregado
43.0,19363.0,178.0,Sudeste,Feminino,Basico,Atendimento Ruim,Professor
43.0,1415.0,396.0,Desconhecido,Masculino,Basico,Atendimento Ruim,Autônomo
34.0,7662.0,272.0,Desconhecido,Feminino,Premium,Atendimento Ruim,Professor
23.0,18861.0,263.0,Desconhecido,Feminino,Nao especificado,Cobertura Ruim,Desempregado
70.0,1966.0,297.0,Norte,Desconhecido,Basico,Cobertura Ruim,Professor
48.0,17200.0,293.0,Desconhecido,Masculino,Nao especificado,Atendimento Ruim,Autônomo
23.0,7662.0,229.0,Nordeste,Masculino,Premium,Preco Alto,Professor
44.0,7662.0,392.0,Nordeste,Masculino,Intermediario,Cobertura Ruim,Autônomo
43.0,2325.0,263.0,Sudeste,Feminino,Intermediario,Atendimento Ruim,Desempregado
43.0,18864.0,263.0,Sudeste,Masculino,Basico,Atendimento Ruim,Autônomo
32.0,10047.0,497.0,Norte,Outro,Basico,Cobertura Ruim,Professor
43.0,17431.0,263.0,Nordeste,Desconhecido,Basico,Cobertura Ruim,Professor
35.0,11706.0,208.0,Desconhecido,Feminino,Premium,Cobertura Ruim,Desempregado
39.0,7662.0,339.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Autônomo
43.0,3507.0,179.0,Sul,Masculino,Premium,Preco Alto,Professor
66.0,3576.0,263.0,Sudeste,Desconhecido,Nao especificado,Preco Alto,Professor
30.0,7662.0,335.0,Norte,Masculino,Intermediario,Atendimento Ruim,Professor
52.0,16715.0,433.0,Sul,Feminino,Basico,Preco Alto,Professor
23.0,2781.0,263.0,Desconhecido,Feminino,Premium,Preco Alto,Autônomo
29.0,19960.0,425.0,Desconhecido,Desconhecido,Basico,Cobertura Ruim,Professor
44.0,16853.0,263.0,Sudeste,Desconhecido,Intermediario,Cobertura Ruim,Professor
53.0,6298.0,95.0,Nordeste,Feminino,Basico,Cobertura Ruim,Autônomo
62.0,4529.0,170.0,Sudeste,Desconhecido,Basico,Preco Alto,Professor
55.0,18022.0,178.0,Sudeste,Feminino,Premium,Cobertura Ruim,Autônomo
18.0,2882.0,380.0,Nordeste,Feminino,Nao especificado,Preco Alto,Professor
52.0,5723.0,173.0,Desconhecido,Masculino,Nao especificado,Preco Alto,Autônomo
60.0,2384.0,285.0,Centro-Oeste,Feminino,Intermediario,Cobertura Ruim,Professor
44.0,18820.0,321.0,Sudeste,Feminino,Premium,Atendimento Ruim,Professor
68.0,7662.0,384.0,Sul,Feminino,Basico,Cobertura Ruim,Autônomo
43.0,5583.0,263.0,Sul,Feminino,Nao especificado,Preco Alto,Professor
60.0,4813.0,354.0,Norte,Desconhecido,Premium,Cobertura Ruim,Professor
36.0,6951.0,176.0,Desconhecido,Masculino,Nao especificado,Atendimento Ruim,Professor
50.0,7662.0,279.0,Sudeste,Desconhecido,Premium,Preco Alto,Professor
43.0,17194.0,200.0,Centro-Oeste,Masculino,Intermediario,Preco Alto,Desempregado
34.0,7799.0,384.0,Sul,Masculino,Nao especificado,Atendimento Ruim,Professor
70.0,13028.0,263.0,Sul,Desconhecido,Basico,Atendimento Ruim,Autônomo
24.0,7662.0,263.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Autônomo
43.0,7708.0,315.0,Sudeste,Feminino,Basico,Cobertura Ruim,Professor
70.0,7662.0,263.0,Sudeste,Feminino,Basico,Cobertura Ruim,Autônomo
25.0,7662.0,381.0,Desconhecido,Feminino,Basico,Cobertura Ruim,Desempregado
38.0,14301.0,387.0,Desconhecido,Feminino,Nao especificado,Cobertura Ruim,Desempregado
55.0,3199.0,218.0,Sudeste,Desconhecido,Basico,Atendimento Ruim,Professor
58.0,7662.0,400.0,Sudeste,Masculino,Intermediario,Preco Alto,Desempregado
68.0,15542.0,263.0,Nordeste,Masculino,Basico,Cobertura Ruim,Professor
58.0,2710.0,169.0,Desconhecido,Masculino,Intermediario,Preco Alto,Autônomo
61.0,8549.0,263.0,Sudeste,Desconhecido,Premium,Atendimento Ruim,Professor
67.0,7662.0,191.0,Norte,Desconhecido,Intermediario,Cobertura Ruim,Desempregado
46.0,3893.0,226.0,Nordeste,Masculino,Nao especificado,Atendimento Ruim,Professor
36.0,9636.0,249.0,Sudeste,Feminino,Nao especificado,Cobertura Ruim,Professor
56.0,7662.0,268.0,Nordeste,Desconhecido,Basico,Cobertura Ruim,Professor
27.0,7777.0,77.0,Sul,Feminino,Nao especificado,Preco Alto,Professor
22.0,7662.0,92.0,Nordeste,Feminino,Intermediario,Cobertura Ruim,Professor
43.0,15903.0,322.0,Nordeste,Feminino,Intermediario,Cobertura Ruim,Autônomo
68.0,2389.0,248.0,Nordeste,Feminino,Basico,Cobertura Ruim,Desempregado
41.0,7662.0,119.0,Nordeste,Feminino,Basico,Preco Alto,Professor
43.0,4614.0,230.0,Sudeste,Masculino,Basico,Cobertura Ruim,Professor
43.0,7662.0,258.0,Centro-Oeste,Masculino,Nao especificado,Cobertura Ruim,Professor
38.0,4174.0,312.0,Sudeste,Masculino,Premium,Cobertura Ruim,Professor
70.0,14092.0,141.0,Sudeste,Feminino,Intermediario,Atendimento Ruim,Professor
49.0,10148.0,498.0,Sudeste,Masculino,Nao especificado,Atendimento Ruim,Desempregado
28.0,16825.0,257.0,Sudeste,Feminino,Basico,Preco Alto,Desempregado
43.0,9698.0,335.0,Sudeste,Desconhecido,Intermediario,Cobertura Ruim,Professor
63.0,8752.0,453.0,Sudeste,Desconhecido,Basico,Cobertura Ruim,Professor
54.0,7662.0,74.0,Sudeste,Masculino,Intermediario,Cobertura Ruim,Desempregado
21.0,8904.0,297.0,Desconhecido,Masculino,Basico,Cobertura Ruim,Desempregado
43.0,16058.0,278.0,Sul,Masculino,Basico,Preco Alto,Desempregado
23.0,1945.0,94.0,Sul,Feminino,Premium,Cobertura Ruim,Professor
68.0,7598.0,263.0,Nordeste,Masculino,Premium,Preco Alto,Desempregado
43.0,7662.0,179.0,Sul,Masculino,Intermediario,Atendimento Ruim,Professor
66.0,7662.0,346.0,Sudeste,Feminino,Basico,Cobertura Ruim,Desempregado
61.0,15792.0,223.0,Centro-Oeste,Feminino,Intermediario,Atendimento Ruim,Professor
43.0,9967.0,382.0,Sul,Feminino,Nao especificado,Atendimento Ruim,Desempregado
36.0,7662.0,470.0,Nordeste,Feminino,Premium,Atendimento Ruim,Desempregado
62.0,7662.0,428.0,Norte,Desconhecido,Nao especificado,Preco Alto,Autônomo
27.0,3532.0,260.0,Desconhecido,Desconhecido,Nao especificado,Cobertura Ruim,Autônomo
28.0,1736.0,263.0,Sudeste,Masculino,Nao especificado,Atendimento Ruim,Professor
43.0,19730.0,263.0,Sul,Masculino,Premium,Cobertura Ruim,Desempregado
43.0,5733.0,324.0,Desconhecido,Desconhecido,Premium,Preco Alto,Professor
70.0,7662.0,233.0,Sudeste,Desconhecido,Basico,Preco Alto,Desempregado
70.0,2077.0,260.0,Sul,Feminino,Nao especificado,Cobertura Ruim,Professor
