,Ocupacao,Idade,Renda_Mensal,Gasto_Internet,Regiao,Genero,Plano_Atual,Motivo_Troca
30,Engenheiro,54.0,2627.0,256.29,Nordeste,Feminino,Basico,Atendimento Ruim
31,Engenheiro,40.35,18024.0,316.46,Sudeste,Feminino,Basico,Cobertura Ruim
32,Engenheiro,47.0,15445.0,250.53,Sul,Masculino,Basico,Preco Alto
33,Engenheiro,50.0,11644.0,431.0,Norte,Masculino,Intermediario,Preco Alto
34,Engenheiro,38.0,19699.0,449.0,Centro-Oeste,Feminino,Basico,Atendimento Ruim
35,Engenheiro,51.0,1522.0,335.78,Sudeste,Masculino,Basico,Atendimento Ruim
36,Engenheiro,18.0,11519.77,151.0,Sudeste,Feminino,Intermediario,Cobertura Ruim
37,Engenheiro,39.35,16408.0,292.84,Norte,Feminino,Intermediario,Cobertura Ruim
38,Engenheiro,36.0,6811.0,259.46,Norte,Feminino,Basico,Atendimento Ruim
39,Engenheiro,34.0,8370.45,314.62,Sudeste,Masculino,Basico,Atendimento Ruim
40,Engenheiro,68.0,3320.0,178.0,Nordeste,Masculino,Basico,Atendimento Ruim
41,Engenheiro,29.0,6824.0,229.0,Sul,Masculino,Basico,Preco Alto
42,Engenheiro,59.0,11579.0,300.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
43,Engenheiro,42.0,3382.0,285.21,Sul,Feminino,Premium,Cobertura Ruim
44,Engenheiro,41.42,7001.0,389.0,Norte,Masculino,Intermediario,Atendimento Ruim
45,Engenheiro,55.0,1482.0,283.0,Norte,Feminino,Intermediario,Preco Alto
46,Engenheiro,26.0,7375.0,306.85,Norte,Feminino,Premium,Cobertura Ruim
47,Engenheiro,42.0,17361.0,271.0,Nordeste,Feminino,Basico,Atendimento Ruim
48,Engenheiro,20.0,11558.17,191.99,Sudeste,Feminino,Intermediario,Cobertura Ruim
49,Engenheiro,51.0,6907.0,203.0,Sudeste,Feminino,Premium,Atendimento Ruim
50,Engenheiro,21.0,3377.0,188.0,Sudeste,Masculino,Intermediario,Preco Alto
51,Engenheiro,42.74,3886.0,218.0,Sudeste,Masculino,Basico,Atendimento Ruim
52,Engenheiro,61.0,7541.59,98.0,Sudeste,Feminino,Premium,Atendimento Ruim
53,Engenheiro,41.0,6080.88,289.0,Sudeste,Feminino,Intermediario,Atendimento Ruim
54,Engenheiro,29.0,2298.0,85.0,Norte,Masculino,Intermediario,Cobertura Ruim
55,Engenheiro,47.0,6188.0,296.82,Norte,Masculino,Intermediario,Cobertura Ruim
56,Engenheiro,44.0,13656.0,361.0,Sudeste,Feminino,Basico,Preco Alto
57,Engenheiro,37.17,12717.0,261.0,Norte,Masculino,Intermediario,Cobertura Ruim
58,Engenheiro,65.0,9286.0,387.0,Nordeste,Masculino,Basico,Atendimento Ruim
59,Engenheiro,56.0,9362.81,314.44,Centro-Oeste,Masculino,Basico,Cobertura Ruim
60,Engenheiro,27.0,2465.0,216.0,Nordeste,Feminino,Premium,Cobertura Ruim
61,Engenheiro,41.1,7258.51,303.0,Centro-Oeste,Feminino,Intermediario,Cobertura Ruim
62,Engenheiro,23.0,8201.0,211.0,Sudeste,Feminino,Premium,Preco Alto
63,Engenheiro,32.0,5734.0,248.0,Centro-Oeste,Masculino,Basico,Atendimento Ruim
64,Engenheiro,70.0,1560.0,318.4,Sudeste,Masculino,Basico,Atendimento Ruim
65,Engenheiro,41.0,14882.0,107.0,Sudeste,Masculino,Intermediario,Preco Alto
66,Engenheiro,41.74,11221.0,396.0,Sudeste,Feminino,Basico,Atendimento Ruim
67,Engenheiro,27.0,5451.0,154.0,Sudeste,Masculino,Basico,Preco Alto
68,Engenheiro,30.0,2565.0,345.0,Sul,Feminino,Basico,Preco Alto
69,Engenheiro,43.43,9633.0,350.0,Norte,Masculino,Intermediario,Cobertura Ruim
70,Engenheiro,18.0,5739.0,320.44,Sudeste,Feminino,Intermediario,Preco Alto
71,Engenheiro,55.0,4558.0,343.0,Sudeste,Feminino,Basico,Atendimento Ruim
72,Engenheiro,48.0,12936.0,149.0,Nordeste,Feminino,Basico,Preco Alto
73,Engenheiro,46.0,5481.0,307.0,Norte,Feminino,Premium,Cobertura Ruim
74,Engenheiro,48.0,3045.0,273.0,Norte,Masculino,Premium,Cobertura Ruim
75,Engenheiro,55.0,7427.0,458.0,Norte,Feminino,Intermediario,Atendimento Ruim
76,Engenheiro,34.69,15650.0,340.0,Sul,Feminino,Basico,Preco Alto
77,Engenheiro,39.0,16188.0,275.26,Norte,Feminino,Intermediario,Atendimento Ruim
78,Engenheiro,35.7,16180.0,306.0,Norte,Masculino,Basico,Cobertura Ruim
79,Engenheiro,43.0,6657.0,248.0,Sul,Masculino,Intermediario,Preco Alto
80,Engenheiro,54.0,9620.59,268.0,Nordeste,Feminino,Basico,Preco Alto
81,Engenheiro,63.0,16202.0,342.23,Sudeste,Masculino,Intermediario,Cobertura Ruim
82,Engenheiro,19.0,7147.0,250.91,Norte,Feminino,Basico,Cobertura Ruim
83,Engenheiro,45.0,5361.0,267.02,Nordeste,Masculino,Premium,Preco Alto
84,Engenheiro,70.0,12442.0,118.0,Nordeste,Masculino,Basico,Cobertura Ruim
85,Engenheiro,43.0,17578.0,426.0,Sudeste,Feminino,Basico,Cobertura Ruim
86,Engenheiro,62.0,19294.0,471.0,Norte,Feminino,Premium,Cobertura Ruim
87,Engenheiro,52.16,9990.87,387.0,Norte,Feminino,Basico,Preco Alto
88,Engenheiro,45.81,18889.0,355.0,Nordeste,Masculino,Basico,Atendimento Ruim
89,Engenheiro,63.0,7651.0,471.0,Nordeste,Masculino,Basico,Cobertura Ruim
90,Engenheiro,40.0,5200.0,178.0,Sudeste,Masculino,Basico,Cobertura Ruim
91,Engenheiro,43.0,19706.0,181.0,Sudeste,Feminino,Basico,Preco Alto
92,Engenheiro,22.0,16901.0,259.0,Sul,Feminino,Basico,Preco Alto
93,Engenheiro,20.0,12200.0,55.0,Norte,Masculino,Premium,Atendimento Ruim
94,Engenheiro,36.91,17336.0,482.0,Norte,Masculino,Intermediario,Atendimento Ruim
95,Engenheiro,61.0,9865.64,75.0,Centro-Oeste,Masculino,Premium,Cobertura Ruim
96,Engenheiro,66.0,6904.0,295.0,Sudeste,Feminino,Basico,Cobertura Ruim
97,Engenheiro,50.0,18683.0,220.0,Nordeste,Feminino,Intermediario,Preco Alto
98,Engenheiro,60.0,19068.0,129.0,Norte,Masculino,Premium,Cobertura Ruim
99,Engenheiro,55.0,5304.0,69.0,Centro-Oeste,Masculino,Basico,Cobertura Ruim
100,Engenheiro,53.0,5814.0,192.0,Sudeste,Masculino,Basico,Preco Alto
101,Engenheiro,57.0,10149.17,323.42,Sudeste,Masculino,Intermediario,Atendimento Ruim
102,Engenheiro,27.41,15490.0,422.79,Sudeste,Masculino,Basico,Atendimento Ruim
103,Engenheiro,41.0,14704.0,337.52,Sudeste,Masculino,Basico,Atendimento Ruim
104,Engenheiro,27.0,8745.4,123.0,Nordeste,Masculino,Intermediario,Cobertura Ruim
105,Engenheiro,61.0,7219.0,381.0,Sudeste,Outro,Basico,Atendimento Ruim
106,Engenheiro,20.0,13324.0,440.28,Sudeste,Masculino,Basico,Atendimento Ruim
107,Engenheiro,33.0,12508.02,420.0,Nordeste,Masculino,Premium,Atendimento Ruim
108,Engenheiro,44.0,4125.0,417.0,Sudeste,Masculino,Basico,Atendimento Ruim
109,Engenheiro,69.0,10377.0,313.5,Nordeste,Masculino,Basico,Cobertura Ruim
110,Engenheiro,46.42,8529.0,399.0,Sul,Masculino,Intermediario,Preco Alto
111,Engenheiro,37.0,13478.0,177.0,Sudeste,Masculino,Basico,Preco Alto
112,Engenheiro,53.0,12276.0,292.0,Sul,Masculino,Intermediario,Cobertura Ruim
113,Engenheiro,41.86,7982.06,273.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
114,Engenheiro,45.0,5265.0,268.0,Centro-Oeste,Masculino,Intermediario,Cobertura Ruim
115,Engenheiro,41.0,8670.7,202.0,Sul,Masculino,Basico,Cobertura Ruim
116,Engenheiro,33.58,15060.0,175.0,Sudeste,Feminino,Basico,Cobertura Ruim
117,Engenheiro,35.0,5892.0,354.0,Nordeste,Masculino,Intermediario,Cobertura Ruim
118,Engenheiro,65.0,4966.0,328.64,Norte,Feminino,Intermediario,Cobertura Ruim
119,Engenheiro,58.0,5591.0,88.0,Norte,Masculino,Intermediario,Cobertura Ruim
120,Engenheiro,70.0,9954.91,228.0,Norte,Masculino,Intermediario,Atendimento Ruim
121,Engenheiro,47.0,14247.0,368.0,Nordeste,Masculino,Intermediario,Atendimento Ruim
122,Engenheiro,41.72,12776.0,274.56,Norte,Masculino,Intermediario,Atendimento Ruim
123,Engenheiro,34.0,8656.0,278.0,Sudeste,Masculino,Basico,Atendimento Ruim
124,Engenheiro,33.0,12800.0,418.0,Sudeste,Masculino,Basico,Atendimento Ruim
125,Engenheiro,45.76,6051.0,69.0,Sudeste,Masculino,Premium,Cobertura Ruim
126,Engenheiro,55.0,1324.0,251.0,Sudeste,Feminino,Basico,Atendimento Ruim
127,Engenheiro,48.98,16508.0,152.0,Norte,Feminino,Basico,Atendimento Ruim
128,Engenheiro,47.0,6677.0,291.0,Sul,Masculino,Basico,Cobertura Ruim
129,Engenheiro,42.92,12583.4,460.0,Nordeste,Feminino,Basico,Atendimento Ruim
130,Engenheiro,36.0,13636.0,55.0,Centro-Oeste,Masculino,Intermediario,Cobertura Ruim
131,Engenheiro,20.0,5579.0,329.0,Norte,Feminino,Basico,Preco Alto
132,Engenheiro,32.0,4006.0,393.0,Sul,Masculino,Basico,Atendimento Ruim
133,Engenheiro,47.0,1665.0,368.0,Sudeste,Masculino,Basico,Atendimento Ruim
134,Engenheiro,59.0,10214.18,178.37,Sudeste,Feminino,Premium,Preco Alto
135,Engenheiro,57.0,7245.0,164.0,Sudeste,Feminino,Premium,Atendimento Ruim
136,Engenheiro,40.36,3371.0,274.14,Sudeste,Feminino,Premium,Preco Alto
137,Engenheiro,21.0,13858.0,116.0,Sul,Feminino,Intermediario,Cobertura Ruim
138,Engenheiro,62.0,17151.0,361.0,Sudeste,Masculino,Intermediario,Cobertura Ruim
139,Engenheiro,22.0,8029.0,270.6,Nordeste,Feminino,Basico,Atendimento Ruim
140,Engenheiro,38.0,1679.0,267.52,Sudeste,Masculino,Basico,Cobertura Ruim
141,Engenheiro,43.94,1324.0,222.0,Nordeste,Feminino,Basico,Cobertura Ruim
142,Engenheiro,46.0,4402.0,140.0,Norte,Masculino,Premium,Preco Alto
143,Engenheiro,37.0,13918.56,355.0,Sudeste,Feminino,Basico,Cobertura Ruim
144,Engenheiro,30.0,7899.0,307.0,Centro-Oeste,Masculino,Basico,Atendimento Ruim
145,Engenheiro,47.0,5831.0,137.0,Norte,Masculino,Basico,Atendimento Ruim
146,Engenheiro,37.0,11086.0,318.05,Norte,Feminino,Intermediario,Atendimento Ruim
147,Engenheiro,27.0,9461.0,206.0,Nordeste,Feminino,Intermediario,Atendimento Ruim
148,Engenheiro,47.86,17629.0,322.0,Nordeste,Feminino,Intermediario,Atendimento Ruim
149,Engenheiro,61.0,9775.0,74.0,Sul,Masculino,Intermediario,Preco Alto
150,Engenheiro,70.0,7773.31,248.0,Nordeste,Feminino,Basico,Preco Alto
151,Engenheiro,29.0,15528.0,482.0,Sudeste,Masculino,Basico,Cobertura Ruim
152,Engenheiro,22.0,3886.0,442.0,Sudeste,Feminino,Intermediario,Cobertura Ruim
153,Engenheiro,44.0,9662.61,179.0,Sudeste,Feminino,Basico,Atendimento Ruim
154,Engenheiro,60.0,14511.0,438.0,Nordeste,Masculino,Basico,Cobertura Ruim
155,Engenheiro,42.62,6929.0,201.0,Norte,Feminino,Basico,Atendimento Ruim
156,Engenheiro,47.02,10025.45,289.77,Norte,Feminino,Basico,Atendimento Ruim
157,Engenheiro,27.0,7998.52,296.72,Norte,Feminino,Intermediario,Atendimento Ruim
158,Engenheiro,40.16,10112.0,219.0,Sul,Masculino,Premium,Cobertura Ruim
159,Engenheiro,46.05,15002.0,293.24,Norte,Feminino,Basico,Cobertura Ruim
160,Engenheiro,65.0,15178.0,261.0,Norte,Masculino,Basico,Cobertura Ruim
161,Engenheiro,39.39,2842.0,209.0,Nordeste,Masculino,Premium,Preco Alto
162,Engenheiro,36.0,11218.0,197.0,Norte,Feminino,Basico,Preco Alto
163,Engenheiro,44.94,18796.0,469.0,Norte,Feminino,Intermediario,Preco Alto
164,Engenheiro,28.0,7407.0,376.0,Centro-Oeste,Masculino,Premium,Preco Alto
165,Engenheiro,22.0,13208.0,244.66,Norte,Masculino,Premium,Cobertura Ruim
166,Engenheiro,67.0,9012.0,189.0,Sudeste,Feminino,Basico,Atendimento Ruim
167,Engenheiro,35.0,3917.0,176.0,Nordeste,Feminino,Intermediario,Cobertura Ruim
168,Engenheiro,67.0,3795.0,297.08,Nordeste,Feminino,Intermediario,Cobertura Ruim
169,Engenheiro,49.0,6821.0,136.0,Nordeste,Feminino,Basico,Cobertura Ruim
170,Engenheiro,69.0,7444.0,261.0,Nordeste,Feminino,Premium,Preco Alto
171,Engenheiro,41.78,7700.0,81.0,Norte,Feminino,Intermediario,Cobertura Ruim
172,Engenheiro,24.0,18859.0,58.0,Sudeste,Feminino,Intermediario,Cobertura Ruim
173,Engenheiro,62.0,2591.0,303.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
174,Engenheiro,26.0,6145.0,118.0,Norte,Masculino,Intermediario,Cobertura Ruim
175,Engenheiro,51.29,7844.0,420.0,Nordeste,Masculino,Basico,Preco Alto
176,Engenheiro,43.0,19065.0,132.0,Nordeste,Masculino,Basico,Cobertura Ruim
177,Engenheiro,53.0,7715.0,279.0,Nordeste,Feminino,Intermediario,Cobertura Ruim
178,Engenheiro,56.0,6427.59,333.0,Sudeste,Feminino,Basico,Cobertura Ruim
179,Engenheiro,59.0,13642.0,347.71,Nordeste,Feminino,Intermediario,Atendimento Ruim
180,Engenheiro,61.0,9005.0,443.0,Sudeste,Feminino,Basico,Preco Alto
181,Engenheiro,61.0,2977.0,260.0,Norte,Feminino,Basico,Preco Alto
182,Engenheiro,34.16,4094.0,208.0,Sul,Masculino,Basico,Cobertura Ruim
183,Engenheiro,64.0,4365.0,449.0,Sul,Feminino,Basico,Cobertura Ruim
184,Engenheiro,54.0,1810.0,427.0,Sul,Feminino,Premium,Preco Alto
185,Engenheiro,34.59,6128.0,265.61,Norte,Masculino,Intermediario,Atendimento Ruim
186,Engenheiro,70.0,10122.0,200.0,Centro-Oeste,Masculino,Intermediario,Atendimento Ruim
187,Engenheiro,24.0,3149.0,189.85,Sudeste,Masculino,Basico,Preco Alto
188,Engenheiro,37.0,3539.0,340.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
189,Engenheiro,59.0,9924.32,168.0,Sul,Feminino,Premium,Preco Alto
190,Engenheiro,23.0,3466.0,264.0,Centro-Oeste,Feminino,Intermediario,Cobertura Ruim
191,Engenheiro,45.0,3036.0,274.49,Norte,Masculino,Basico,Preco Alto
192,Engenheiro,62.0,19439.0,241.73,Norte,Masculino,Basico,Cobertura Ruim
193,Engenheiro,19.0,1506.0,279.93,Centro-Oeste,Masculino,Basico,Cobertura Ruim
194,Engenheiro,36.79,5446.0,276.22,Sudeste,Feminino,Intermediario,Preco Alto
195,Engenheiro,69.0,1763.0,304.37,Norte,Masculino,Basico,Preco Alto
196,Engenheiro,35.0,15893.0,252.0,Norte,Feminino,Basico,Cobertura Ruim
197,Engenheiro,57.0,7596.74,96.0,Nordeste,Feminino,Basico,Cobertura Ruim
198,Engenheiro,25.0,9100.29,415.0,Sudeste,Feminino,Intermediario,Preco Alto
199,Engenheiro,39.98,10245.0,141.0,Sudeste,Masculino,Premium,Cobertura Ruim
200,Engenheiro,42.0,2880.0,271.6,Nordeste,Masculino,Basico,Cobertura Ruim
201,Engenheiro,62.0,7606.0,348.54,Sudeste,Feminino,Basico,Preco Alto
202,Engenheiro,30.0,11616.0,369.0,Sudeste,Masculino,Basico,Cobertura Ruim
203,Engenheiro,49.65,3203.0,343.0,Centro-Oeste,Masculino,Basico,Cobertura Ruim
204,Engenheiro,58.0,8645.29,246.0,Sudeste,Feminino,Premium,Atendimento Ruim
205,Engenheiro,30.0,7120.0,277.72,Sul,Feminino,Basico,Cobertura Ruim
206,Engenheiro,60.0,17864.0,278.32,Sudeste,Masculino,Intermediario,Cobertura Ruim
207,Engenheiro,68.0,19891.0,233.87,Sudeste,Feminino,Intermediario,Cobertura Ruim
208,Engenheiro,48.0,11237.0,247.0,Nordeste,Feminino,Intermediario,Atendimento Ruim
209,Engenheiro,58.0,6670.56,254.0,Norte,Feminino,Basico,Atendimento Ruim
210,Engenheiro,45.0,11045.0,165.0,Sudeste,Feminino,Intermediario,Atendimento Ruim
211,Engenheiro,44.16,16863.0,294.2,Nordeste,Outro,Intermediario,Atendimento Ruim
212,Engenheiro,18.0,6814.0,299.07,Centro-Oeste,Masculino,Intermediario,Preco Alto
213,Engenheiro,38.35,10058.0,244.66,Centro-Oeste,Masculino,Intermediario,Cobertura Ruim
214,Engenheiro,26.4,16074.0,200.97,Nordeste,Feminino,Basico,Cobertura Ruim
215,Engenheiro,49.46,17923.0,417.0,Nordeste,Feminino,Basico,Cobertura Ruim
216,Engenheiro,28.0,1633.0,392.0,Sudeste,Feminino,Intermediario,Cobertura Ruim
217,Engenheiro,32.0,2638.0,414.0,Norte,Feminino,Intermediario,Preco Alto
218,Engenheiro,56.0,1324.0,491.0,Sudeste,Feminino,Basico,Atendimento Ruim
219,Engenheiro,42.24,9057.0,402.0,Sul,Feminino,Basico,Preco Alto
220,Engenheiro,47.11,19752.0,194.0,Norte,Masculino,Premium,Cobertura Ruim
221,Engenheiro,32.0,14741.0,408.0,Centro-Oeste,Masculino,Intermediario,Cobertura Ruim
222,Engenheiro,38.75,15388.0,308.03,Sul,Outro,Basico,Cobertura Ruim
223,Engenheiro,70.0,6216.0,298.53,Sudeste,Feminino,Basico,Cobertura Ruim
224,Engenheiro,62.0,4585.0,395.0,Sudeste,Feminino,Premium,Cobertura Ruim
225,Engenheiro,33.0,9812.0,208.0,Sudeste,Feminino,Intermediario,Cobertura Ruim
226,Engenheiro,37.0,16933.0,70.0,Norte,Masculino,Basico,Preco Alto
227,Engenheiro,42.12,13044.0,355.0,Sul,Feminino,Basico,Atendimento Ruim
228,Engenheiro,64.0,7307.0,250.8,Nordeste,Feminino,Intermediario,Cobertura Ruim
229,Engenheiro,27.0,13741.0,463.0,Norte,Masculino,Intermediario,Atendimento Ruim
230,Engenheiro,53.36,10199.7,396.0,Sudeste,Feminino,Intermediario,Atendimento Ruim
231,Engenheiro,34.0,6379.12,467.0,Norte,Feminino,Intermediario,Preco Alto
232,Engenheiro,45.37,7285.93,408.0,Norte,Masculino,Intermediario,Atendimento Ruim
233,Engenheiro,18.0,2832.0,73.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
234,Engenheiro,70.0,7280.0,270.67,Sul,Feminino,Intermediario,Cobertura Ruim
235,Engenheiro,56.0,6384.8,214.0,Nordeste,Outro,Basico,Atendimento Ruim
236,Engenheiro,51.49,19363.0,178.0,Sudeste,Feminino,Basico,Atendimento Ruim
237,Engenheiro,49.24,1415.0,396.0,Sudeste,Masculino,Basico,Atendimento Ruim
238,Engenheiro,34.0,8772.21,272.0,Norte,Feminino,Premium,Atendimento Ruim
239,Engenheiro,23.0,18861.0,170.06,Norte,Feminino,Intermediario,Cobertura Ruim
240,Engenheiro,70.0,1966.0,297.0,Norte,Masculino,Basico,Cobertura Ruim
241,Engenheiro,48.0,17200.0,293.0,Norte,Masculino,Intermediario,Atendimento Ruim
242,Engenheiro,23.0,10206.0,229.0,Nordeste,Masculino,Premium,Preco Alto
243,Engenheiro,44.0,7650.82,392.0,Nordeste,Masculino,Intermediario,Cobertura Ruim
244,Engenheiro,47.31,2325.0,259.81,Sudeste,Feminino,Intermediario,Atendimento Ruim
245,Engenheiro,49.24,18864.0,246.44,Sudeste,Masculino,Basico,Atendimento Ruim
246,Engenheiro,32.0,10047.0,497.0,Norte,Outro,Basico,Cobertura Ruim
247,Engenheiro,45.33,17431.0,298.7,Nordeste,Feminino,Basico,Atendimento Ruim
248,Engenheiro,35.0,11706.0,208.0,Sudeste,Feminino,Premium,Preco Alto
249,Engenheiro,39.0,8205.12,339.0,Sudeste,Masculino,Basico,Cobertura Ruim
250,Engenheiro,37.57,3507.0,179.0,Sul,Masculino,Premium,Preco Alto
251,Engenheiro,66.0,3576.0,331.86,Sudeste,Feminino,Intermediario,Preco Alto
252,Engenheiro,30.0,11437.12,335.0,Norte,Masculino,Intermediario,Atendimento Ruim
253,Engenheiro,52.0,16715.0,433.0,Sul,Feminino,Basico,Preco Alto
254,Engenheiro,23.0,2781.0,206.63,Sudeste,Feminino,Premium,Preco Alto
255,Engenheiro,29.0,19960.0,425.0,Norte,Feminino,Basico,Cobertura Ruim
256,Engenheiro,44.0,16853.0,275.17,Sudeste,Masculino,Intermediario,Cobertura Ruim
257,Engenheiro,53.0,6298.0,95.0,Nordeste,Feminino,Basico,Cobertura Ruim
258,Engenheiro,62.0,4529.0,170.0,Sudeste,Masculino,Basico,Preco Alto
259,Engenheiro,55.0,18022.0,178.0,Sudeste,Feminino,Premium,Cobertura Ruim
260,Engenheiro,18.0,2882.0,380.0,Nordeste,Feminino,Intermediario,Preco Alto
261,Engenheiro,52.0,5723.0,173.0,Sudeste,Masculino,Intermediario,Preco Alto
262,Engenheiro,60.0,2384.0,285.0,Centro-Oeste,Feminino,Intermediario,Cobertura Ruim
263,Engenheiro,44.0,18820.0,321.0,Sudeste,Feminino,Premium,Atendimento Ruim
264,Engenheiro,68.0,4728.13,384.0,Sul,Feminino,Basico,Cobertura Ruim
265,Engenheiro,40.81,5583.0,258.28,Sul,Feminino,Intermediario,Preco Alto
266,Engenheiro,60.0,4813.0,354.0,Norte,Feminino,Premium,Cobertura Ruim
267,Engenheiro,36.0,6951.0,176.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
268,Engenheiro,50.0,9904.42,279.0,Sudeste,Feminino,Premium,Preco Alto
269,Engenheiro,45.76,17194.0,200.0,Centro-Oeste,Masculino,Intermediario,Preco Alto
270,Engenheiro,34.0,7799.0,384.0,Sul,Masculino,Basico,Atendimento Ruim
271,Engenheiro,70.0,13028.0,236.58,Sul,Masculino,Basico,Atendimento Ruim
272,Engenheiro,24.0,9875.11,263.09,Norte,Masculino,Basico,Cobertura Ruim
273,Engenheiro,52.63,7708.0,315.0,Sudeste,Feminino,Basico,Preco Alto
274,Engenheiro,70.0,5367.03,339.44,Sudeste,Feminino,Basico,Cobertura Ruim
275,Engenheiro,25.0,11153.62,381.0,Sudeste,Feminino,Basico,Cobertura Ruim
276,Engenheiro,38.0,14301.0,387.0,Sudeste,Feminino,Basico,Cobertura Ruim
277,Engenheiro,55.0,3199.0,218.0,Sudeste,Feminino,Basico,Atendimento Ruim
278,Engenheiro,58.0,8492.934000000001,400.0,Sudeste,Masculino,Intermediario,Preco Alto
279,Engenheiro,68.0,15542.0,258.9,Nordeste,Masculino,Basico,Cobertura Ruim
280,Engenheiro,58.0,2710.0,169.0,Sudeste,Masculino,Intermediario,Preco Alto
281,Engenheiro,61.0,8549.0,225.6,Sudeste,Feminino,Premium,Atendimento Ruim
282,Engenheiro,67.0,10097.77,191.0,Norte,Feminino,Intermediario,Cobertura Ruim
283,Engenheiro,46.0,3893.0,226.0,Nordeste,Masculino,Basico,Atendimento Ruim
284,Engenheiro,36.0,9636.0,249.0,Sudeste,Feminino,Intermediario,Cobertura Ruim
285,Engenheiro,56.0,7994.35,268.0,Nordeste,Feminino,Basico,Cobertura Ruim
286,Engenheiro,27.0,7777.0,77.0,Sul,Feminino,Intermediario,Preco Alto
287,Engenheiro,22.0,10981.19,92.0,Nordeste,Feminino,Intermediario,Cobertura Ruim
288,Engenheiro,47.9,15903.0,322.0,Nordeste,Feminino,Intermediario,Cobertura Ruim
289,Engenheiro,68.0,2389.0,248.0,Nordeste,Feminino,Basico,Cobertura Ruim
290,Engenheiro,41.0,7712.39,119.0,Nordeste,Feminino,Basico,Preco Alto
291,Engenheiro,34.27,4614.0,230.0,Sudeste,Masculino,Basico,Cobertura Ruim
292,Engenheiro,43.0,11628.74,258.0,Centro-Oeste,Masculino,Basico,Cobertura Ruim
293,Engenheiro,38.0,4174.0,312.0,Sudeste,Masculino,Premium,Cobertura Ruim
294,Engenheiro,70.0,14092.0,141.0,Sudeste,Feminino,Intermediario,Atendimento Ruim
295,Engenheiro,49.0,10148.0,498.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
296,Engenheiro,28.0,16825.0,257.0,Sudeste,Feminino,Basico,Preco Alto
297,Engenheiro,38.84,9698.0,335.0,Sudeste,Masculino,Intermediario,Cobertura Ruim
298,Engenheiro,63.0,8752.0,453.0,Sudeste,Feminino,Basico,Preco Alto
