Idade,Renda_Mensal,Gasto_Internet,Regiao,Genero,Plano_Atual,Motivo_Troca
39.17,16408.0,256.105,Norte,Feminino,Intermediario,Cobertura Ruim
36.0,6811.0,312.845,Norte,Feminino,Intermediario,Atendimento Ruim
34.0,8570.975,287.225,Sudeste,Masculino,Basico,Cobertura Ruim
68.0,3320.0,178.0,Nordeste,Masculino,Basico,Atendimento Ruim
29.0,6824.0,229.0,Sul,Masculino,Basico,Preco Alto
59.0,11579.0,300.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
42.0,3382.0,267.985,Sul,Feminino,Premium,Cobertura Ruim
42.085,7001.0,389.0,Norte,Masculino,Intermediario,Atendimento Ruim
55.0,1482.0,283.0,Norte,Feminino,Intermediario,Preco Alto
26.0,7375.0,321.9,Norte,Feminino,Premium,Cobertura Ruim
42.0,17361.0,271.0,Nordeste,Feminino,Basico,Atendimento Ruim
20.0,12078.7,172.605,Sudeste,Feminino,Intermediario,Cobertura Ruim
51.0,6907.0,203.0,Sudeste,Feminino,Premium,Atendimento Ruim
21.0,3377.0,188.0,Sudeste,Masculino,Intermediario,Preco Alto
43.27,3886.0,218.0,Sudeste,Masculino,Basico,Atendimento Ruim
61.0,8381.795,98.0,Sudeste,Feminino,Premium,Atendimento Ruim
41.0,6889.675,289.0,Sudeste,Feminino,Intermediario,Atendimento Ruim
29.0,2298.0,85.0,Sudeste,Masculino,Intermediario,Cobertura Ruim
47.0,6188.0,256.705,Norte,Feminino,Intermediario,Cobertura Ruim
44.0,13656.0,361.0,Sudeste,Feminino,Basico,Preco Alto
35.98,12717.0,261.0,Norte,Masculino,Intermediario,Cobertura Ruim
65.0,9286.0,387.0,Nordeste,Masculino,Basico,Atendimento Ruim
56.0,6520.01,263.47,Centro-Oeste,Masculino,Intermediario,Cobertura Ruim
27.0,2465.0,216.0,Nordeste,Feminino,Premium,Cobertura Ruim
56.31,10909.365,303.0,Centro-Oeste,Feminino,Intermediario,Atendimento Ruim
23.0,8201.0,211.0,Sudeste,Feminino,Premium,Preco Alto
32.0,5734.0,248.0,Centro-Oeste,Masculino,Basico,Atendimento Ruim
70.0,1560.0,327.795,Sudeste,Masculino,Basico,Atendimento Ruim
41.0,14882.0,107.0,Sudeste,Masculino,Basico,Preco Alto
44.125,11221.0,396.0,Sudeste,Feminino,Basico,Atendimento Ruim
27.0,5451.0,154.0,Sudeste,Masculino,Basico,Preco Alto
30.0,2565.0,345.0,Sul,Feminino,Basico,Preco Alto
42.05,9633.0,350.0,Norte,Masculino,Intermediario,Cobertura Ruim
18.0,5739.0,344.16,Sudeste,Feminino,Intermediario,Preco Alto
55.0,4558.0,343.0,Sudeste,Feminino,Basico,Atendimento Ruim
48.0,12936.0,149.0,Nordeste,Feminino,Basico,Preco Alto
46.0,5481.0,307.0,Norte,Feminino,Premium,Cobertura Ruim
48.0,3045.0,273.0,Norte,Feminino,Premium,Cobertura Ruim
55.0,7427.0,458.0,Norte,Feminino,Intermediario,Atendimento Ruim
36.3,15650.0,340.0,Sul,Feminino,Basico,Preco Alto
39.0,16188.0,275.09,Norte,Feminino,Intermediario,Atendimento Ruim
39.13,16180.0,306.0,Norte,Masculino,Basico,Cobertura Ruim
43.0,6657.0,248.0,Sul,Masculino,Intermediario,Preco Alto
54.0,10115.67,268.0,Nordeste,Feminino,Basico,Preco Alto
63.0,16202.0,351.065,Sudeste,Masculino,Intermediario,Cobertura Ruim
19.0,7147.0,237.585,Norte,Feminino,Basico,Cobertura Ruim
45.0,5361.0,265.045,Nordeste,Masculino,Premium,Preco Alto
70.0,12442.0,118.0,Nordeste,Masculino,Basico,Cobertura Ruim
43.0,17578.0,426.0,Sudeste,Feminino,Basico,Cobertura Ruim
62.0,19294.0,471.0,Norte,Feminino,Premium,Cobertura Ruim
51.945,8831.045,387.0,Sudeste,Feminino,Basico,Preco Alto
45.25,18889.0,355.0,Norte,Masculino,Basico,Atendimento Ruim
63.0,7651.0,471.0,Norte,Masculino,Basico,Cobertura Ruim
40.0,5200.0,178.0,Sudeste,Masculino,Basico,Cobertura Ruim
43.0,19706.0,181.0,Sudeste,Feminino,Basico,Preco Alto
22.0,16901.0,259.0,Sul,Feminino,Basico,Cobertura Ruim
20.0,12200.0,55.0,Norte,Masculino,Premium,Atendimento Ruim
40.3,17336.0,482.0,Norte,Masculino,Intermediario,Atendimento Ruim
61.0,10037.505,75.0,Centro-Oeste,Masculino,Premium,Cobertura Ruim
66.0,6904.0,295.0,Sudeste,Feminino,Basico,Cobertura Ruim
50.0,18683.0,220.0,Nordeste,Feminino,Intermediario,Preco Alto
60.0,19068.0,129.0,Nordeste,Masculino,Premium,Cobertura Ruim
55.0,5304.0,69.0,Centro-Oeste,Masculino,Basico,Cobertura Ruim
53.0,5814.0,192.0,Sudeste,Masculino,Basico,Preco Alto
57.0,7610.073333333334,340.555,Norte,Masculino,Basico,Atendimento Ruim
29.47,15490.0,418.71,Sudeste,Masculino,Basico,Atendimento Ruim
41.0,14704.0,330.4,Sudeste,Masculino,Basico,Atendimento Ruim
27.0,8256.27,123.0,Nordeste,Masculino,Intermediario,Cobertura Ruim
61.0,7219.0,381.0,Sudeste,Outro,Basico,Atendimento Ruim
20.0,13324.0,429.805,Sudeste,Masculino,Basico,Atendimento Ruim
33.0,12523.4,420.0,Nordeste,Masculino,Premium,Atendimento Ruim
44.0,4125.0,417.0,Sudeste,Masculino,Basico,Atendimento Ruim
69.0,10377.0,312.795,Nordeste,Masculino,Basico,Cobertura Ruim
45.8,8529.0,399.0,Sul,Masculino,Intermediario,Preco Alto
37.0,13478.0,177.0,Sudeste,Masculino,Basico,Preco Alto
53.0,12276.0,292.0,Sul,Masculino,Basico,Cobertura Ruim
41.715,9700.03,273.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
45.0,5265.0,268.0,Centro-Oeste,Masculino,Intermediario,Cobertura Ruim
41.0,10130.02,202.0,Sul,Masculino,Basico,Cobertura Ruim
31.91,15060.0,175.0,Sudeste,Feminino,Basico,Cobertura Ruim
35.0,5892.0,354.0,Nordeste,Masculino,Intermediario,Cobertura Ruim
65.0,4966.0,338.98,Norte,Feminino,Intermediario,Cobertura Ruim
58.0,5591.0,88.0,Sudeste,Masculino,Intermediario,Cobertura Ruim
70.0,9115.04,228.0,Nordeste,Masculino,Intermediario,Atendimento Ruim
47.0,14247.0,368.0,Nordeste,Masculino,Intermediario,Atendimento Ruim
41.065,12776.0,304.265,Norte,Masculino,Intermediario,Atendimento Ruim
34.0,8656.0,278.0,Sudeste,Masculino,Basico,Atendimento Ruim
33.0,12800.0,418.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
47.105,6051.0,69.0,Sudeste,Masculino,Premium,Cobertura Ruim
55.0,1324.0,251.0,Sudeste,Feminino,Basico,Atendimento Ruim
50.155,16508.0,152.0,Norte,Feminino,Basico,Atendimento Ruim
47.0,6677.0,291.0,Sul,Masculino,Basico,Cobertura Ruim
42.955,11786.405,460.0,Nordeste,Feminino,Basico,Atendimento Ruim
36.0,13636.0,55.0,Centro-Oeste,Masculino,Intermediario,Cobertura Ruim
20.0,5579.0,329.0,Norte,Feminino,Basico,Preco Alto
32.0,4006.0,393.0,Sul,Masculino,Basico,Atendimento Ruim
47.0,1665.0,368.0,Sudeste,Masculino,Basico,Cobertura Ruim
59.0,9335.48,210.89,Sudeste,Feminino,Premium,Preco Alto
57.0,7245.0,164.0,Sudeste,Feminino,Premium,Atendimento Ruim
32.435,3371.0,183.415,Sudeste,Feminino,Premium,Preco Alto
21.0,13858.0,116.0,Sul,Feminino,Intermediario,Cobertura Ruim
62.0,17151.0,361.0,Sudeste,Masculino,Intermediario,Cobertura Ruim
22.0,8029.0,272.2,Nordeste,Feminino,Basico,Atendimento Ruim
38.0,1679.0,280.875,Sudeste,Masculino,Basico,Cobertura Ruim
44.125,1324.0,222.0,Nordeste,Feminino,Basico,Cobertura Ruim
46.0,4402.0,140.0,Norte,Masculino,Premium,Preco Alto
37.0,13137.775,355.0,Sudeste,Feminino,Basico,Cobertura Ruim
30.0,7899.0,307.0,Centro-Oeste,Masculino,Basico,Atendimento Ruim
47.0,5831.0,137.0,Norte,Masculino,Basico,Atendimento Ruim
37.0,11086.0,320.98,Norte,Feminino,Intermediario,Atendimento Ruim
27.0,9461.0,206.0,Nordeste,Feminino,Intermediario,Atendimento Ruim
47.675,17629.0,322.0,Nordeste,Feminino,Intermediario,Atendimento Ruim
61.0,9775.0,74.0,Sul,Masculino,Intermediario,Preco Alto
70.0,8687.245,248.0,Nordeste,Feminino,Basico,Preco Alto
29.0,15528.0,482.0,Sudeste,Masculino,Basico,Cobertura Ruim
22.0,3886.0,442.0,Sudeste,Feminino,Intermediario,Cobertura Ruim
44.0,8372.425,179.0,Sudeste,Masculino,Basico,Atendimento Ruim
60.0,14511.0,438.0,Nordeste,Masculino,Basico,Cobertura Ruim
41.61,6929.0,201.0,Sudeste,Feminino,Basico,Atendimento Ruim
44.84,7459.485,248.88,Norte,Feminino,Basico,Atendimento Ruim
27.0,6776.145,282.615,Norte,Feminino,Intermediario,Atendimento Ruim
38.905,10112.0,219.0,Sul,Masculino,Premium,Cobertura Ruim
42.745,15002.0,301.61,Norte,Feminino,Basico,Cobertura Ruim
65.0,15178.0,261.0,Norte,Masculino,Basico,Cobertura Ruim
40.945,2842.0,209.0,Nordeste,Masculino,Premium,Preco Alto
36.0,11218.0,197.0,Norte,Feminino,Basico,Preco Alto
45.96,18796.0,469.0,Norte,Feminino,Intermediario,Preco Alto
28.0,7407.0,376.0,Centro-Oeste,Masculino,Premium,Preco Alto
22.0,13208.0,230.16,Sudeste,Masculino,Premium,Cobertura Ruim
67.0,9012.0,189.0,Sudeste,Feminino,Basico,Atendimento Ruim
35.0,3917.0,176.0,Nordeste,Feminino,Intermediario,Cobertura Ruim
67.0,3795.0,286.495,Nordeste,Feminino,Intermediario,Cobertura Ruim
49.0,6821.0,136.0,Nordeste,Feminino,Basico,Cobertura Ruim
69.0,7444.0,261.0,Nordeste,Feminino,Premium,Preco Alto
43.535,7700.0,81.0,Norte,Feminino,Intermediario,Cobertura Ruim
24.0,18859.0,58.0,Sudeste,Feminino,Intermediario,Cobertura Ruim
62.0,2591.0,303.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
26.0,6145.0,118.0,Norte,Masculino,Intermediario,Cobertura Ruim
45.325,7844.0,420.0,Nordeste,Masculino,Basico,Preco Alto
43.0,19065.0,132.0,Nordeste,Masculino,Basico,Cobertura Ruim
53.0,7715.0,279.0,Nordeste,Feminino,Intermediario,Cobertura Ruim
56.0,8340.29,333.0,Sudeste,Masculino,Basico,Cobertura Ruim
59.0,13642.0,346.525,Nordeste,Feminino,Intermediario,Cobertura Ruim
61.0,9005.0,443.0,Sudeste,Feminino,Basico,Preco Alto
61.0,2977.0,260.0,Norte,Feminino,Basico,Cobertura Ruim
33.27,4094.0,208.0,Sul,Masculino,Basico,Cobertura Ruim
64.0,4365.0,449.0,Sul,Feminino,Basico,Cobertura Ruim
54.0,1810.0,427.0,Sul,Feminino,Premium,Preco Alto
38.51,6128.0,314.235,Norte,Masculino,Intermediario,Atendimento Ruim
70.0,10122.0,200.0,Centro-Oeste,Masculino,Intermediario,Atendimento Ruim
24.0,3149.0,175.515,Norte,Masculino,Intermediario,Preco Alto
37.0,3539.0,340.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
59.0,10061.325,168.0,Sul,Feminino,Premium,Preco Alto
23.0,3466.0,264.0,Centro-Oeste,Feminino,Intermediario,Cobertura Ruim
45.0,3036.0,288.445,Norte,Masculino,Basico,Preco Alto
62.0,19439.0,241.08,Norte,Masculino,Basico,Cobertura Ruim
19.0,1506.0,287.01,Centro-Oeste,Masculino,Basico,Cobertura Ruim
38.01,5446.0,269.96,Sudeste,Feminino,Intermediario,Preco Alto
69.0,1763.0,265.81,Sudeste,Masculino,Basico,Preco Alto
35.0,15893.0,252.0,Sudeste,Feminino,Basico,Cobertura Ruim
57.0,7622.71,96.0,Nordeste,Feminino,Basico,Cobertura Ruim
25.0,11983.975,415.0,Sudeste,Feminino,Basico,Preco Alto
37.5,10245.0,141.0,Sudeste,Masculino,Premium,Cobertura Ruim
42.0,2880.0,215.255,Nordeste,Masculino,Basico,Cobertura Ruim
62.0,7606.0,353.525,Sudeste,Feminino,Basico,Preco Alto
30.0,11616.0,369.0,Sudeste,Masculino,Basico,Cobertura Ruim
48.58,3203.0,343.0,Centro-Oeste,Masculino,Basico,Cobertura Ruim
58.0,9427.215,246.0,Sudeste,Feminino,Premium,Atendimento Ruim
30.0,7120.0,256.97,Sul,Masculino,Basico,Cobertura Ruim
60.0,17864.0,285.74,Norte,Masculino,Intermediario,Cobertura Ruim
68.0,19891.0,234.815,Sudeste,Feminino,Intermediario,Cobertura Ruim
48.0,11237.0,247.0,Nordeste,Feminino,Intermediario,Atendimento Ruim
58.0,7041.735,254.0,Norte,Feminino,Basico,Atendimento Ruim
45.0,11045.0,165.0,Sudeste,Feminino,Intermediario,Atendimento Ruim
45.235,16863.0,312.145,Nordeste,Outro,Intermediario,Atendimento Ruim
18.0,6814.0,282.905,Centro-Oeste,Masculino,Intermediario,Preco Alto
43.875,10058.0,256.085,Centro-Oeste,Masculino,Intermediario,Cobertura Ruim
46.09,16074.0,292.71,Nordeste,Feminino,Basico,Cobertura Ruim
51.97,17923.0,417.0,Nordeste,Feminino,Basico,Preco Alto
28.0,1633.0,392.0,Sudeste,Feminino,Intermediario,Cobertura Ruim
32.0,2638.0,414.0,Norte,Feminino,Intermediario,Preco Alto
56.0,1324.0,491.0,Sudeste,Feminino,Basico,Atendimento Ruim
39.17,9057.0,402.0,Sul,Feminino,Basico,Preco Alto
48.775,19752.0,194.0,Norte,Masculino,Premium,Cobertura Ruim
32.0,14741.0,408.0,Centro-Oeste,Masculino,Intermediario,Cobertura Ruim
40.06,15388.0,320.545,Sul,Outro,Basico,Cobertura Ruim
70.0,6216.0,309.045,Sudeste,Feminino,Basico,Cobertura Ruim
62.0,4585.0,395.0,Sudeste,Feminino,Premium,Cobertura Ruim
33.0,9812.0,208.0,Sudeste,Feminino,Intermediario,Preco Alto
37.0,16933.0,70.0,Norte,Masculino,Basico,Preco Alto
39.545,13044.0,355.0,Sul,Feminino,Basico,Atendimento Ruim
64.0,7307.0,266.275,Nordeste,Feminino,Intermediario,Cobertura Ruim
27.0,13741.0,463.0,Norte,Masculino,Intermediario,Atendimento Ruim
51.56,9424.8,396.0,Sudeste,Feminino,Intermediario,Atendimento Ruim
34.0,6235.87,467.0,Norte,Feminino,Intermediario,Preco Alto
48.94,7198.74,408.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
18.0,2832.0,73.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
70.0,7280.0,272.94,Sul,Feminino,Intermediario,Cobertura Ruim
56.0,7760.62,214.0,Nordeste,Outro,Basico,Atendimento Ruim
46.55,19363.0,178.0,Sudeste,Feminino,Basico,Atendimento Ruim
49.52,1415.0,396.0,Sudeste,Masculino,Basico,Atendimento Ruim
34.0,8313.625,272.0,Norte,Feminino,Premium,Atendimento Ruim
23.0,18861.0,173.195,Norte,Feminino,Intermediario,Cobertura Ruim
70.0,1966.0,297.0,Norte,Masculino,Basico,Cobertura Ruim
48.0,17200.0,293.0,Norte,Masculino,Intermediario,Atendimento Ruim
23.0,8732.23,229.0,Nordeste,Masculino,Premium,Preco Alto
44.0,9120.985,392.0,Nordeste,Masculino,Intermediario,Cobertura Ruim
43.82,2325.0,276.97,Sudeste,Feminino,Intermediario,Atendimento Ruim
49.285,18864.0,239.015,Sudeste,Masculino,Basico,Atendimento Ruim
32.0,10047.0,497.0,Norte,Outro,Basico,Cobertura Ruim
48.37,17431.0,331.72,Nordeste,Feminino,Basico,Atendimento Ruim
35.0,11706.0,208.0,Sudeste,Feminino,Premium,Cobertura Ruim
39.0,6080.02,339.0,Sudeste,Masculino,Basico,Cobertura Ruim
34.185,3507.0,179.0,Sul,Masculino,Premium,Preco Alto
66.0,3576.0,310.87,Sudeste,Feminino,Intermediario,Preco Alto
30.0,12047.8,335.0,Norte,Masculino,Intermediario,Atendimento Ruim
52.0,16715.0,433.0,Sul,Feminino,Basico,Preco Alto
23.0,2781.0,221.455,Sudeste,Feminino,Premium,Preco Alto
29.0,19960.0,425.0,Norte,Feminino,Basico,Cobertura Ruim
44.0,16853.0,284.03,Sudeste,Masculino,Intermediario,Cobertura Ruim
53.0,6298.0,95.0,Nordeste,Feminino,Basico,Cobertura Ruim
62.0,4529.0,170.0,Sudeste,Masculino,Basico,Preco Alto
55.0,18022.0,178.0,Sudeste,Feminino,Premium,Cobertura Ruim
18.0,2882.0,380.0,Nordeste,Feminino,Intermediario,Preco Alto
52.0,5723.0,173.0,Sudeste,Masculino,Intermediario,Preco Alto
60.0,2384.0,285.0,Centro-Oeste,Feminino,Intermediario,Cobertura Ruim
44.0,18820.0,321.0,Sudeste,Feminino,Premium,Atendimento Ruim
68.0,6546.97,384.0,Sul,Feminino,Basico,Cobertura Ruim
36.595,5583.0,275.175,Sul,Feminino,Intermediario,Preco Alto
60.0,4813.0,354.0,Norte,Feminino,Premium,Cobertura Ruim
36.0,6951.0,176.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
50.0,7684.64,279.0,Sudeste,Feminino,Premium,Preco Alto
43.675,17194.0,200.0,Centro-Oeste,Masculino,Intermediario,Preco Alto
34.0,7799.0,384.0,Sul,Masculino,Basico,Atendimento Ruim
70.0,13028.0,245.895,Sul,Feminino,Basico,Atendimento Ruim
24.0,8296.97,239.95,Norte,Masculino,Basico,Cobertura Ruim
50.49,7708.0,315.0,Sudeste,Feminino,Basico,Preco Alto
70.0,5743.52,313.815,Sudeste,Feminino,Basico,Cobertura Ruim
25.0,10905.735,381.0,Sudeste,Feminino,Basico,Cobertura Ruim
38.0,14301.0,387.0,Sudeste,Feminino,Basico,Cobertura Ruim
55.0,3199.0,218.0,Sudeste,Feminino,Basico,Atendimento Ruim
58.0,9168.208333333334,400.0,Sudeste,Masculino,Intermediario,Preco Alto
68.0,15542.0,277.73,Nordeste,Masculino,Basico,Cobertura Ruim
58.0,2710.0,169.0,Norte,Masculino,Intermediario,Preco Alto
61.0,8549.0,221.355,Sudeste,Feminino,Premium,Atendimento Ruim
67.0,10241.195,191.0,Norte,Feminino,Intermediario,Cobertura Ruim
46.0,3893.0,226.0,Nordeste,Masculino,Basico,Atendimento Ruim
36.0,9636.0,249.0,Sudeste,Feminino,Intermediario,Cobertura Ruim
56.0,6352.52,268.0,Nordeste,Feminino,Basico,Cobertura Ruim
27.0,7777.0,77.0,Sul,Feminino,Intermediario,Preco Alto
22.0,11857.09,92.0,Nordeste,Feminino,Intermediario,Cobertura Ruim
50.975,15903.0,322.0,Nordeste,Feminino,Intermediario,Cobertura Ruim
68.0,2389.0,248.0,Nordeste,Feminino,Basico,Cobertura Ruim
41.0,9083.715,119.0,Nordeste,Feminino,Basico,Preco Alto
36.335,4614.0,230.0,Sudeste,Masculino,Basico,Cobertura Ruim
43.0,11972.245,258.0,Centro-Oeste,Masculino,Basico,Cobertura Ruim
38.0,4174.0,312.0,Sudeste,Masculino,Premium,Cobertura Ruim
70.0,14092.0,141.0,Sudeste,Feminino,Intermediario,Atendimento Ruim
49.0,10148.0,498.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
28.0,16825.0,257.0,Sudeste,Feminino,Basico,Preco Alto
38.575,9698.0,335.0,Sudeste,Masculino,Intermediario,Cobertura Ruim
63.0,8752.0,453.0,Sudeste,Feminino,Basico,Preco Alto
54.0,5160.61,74.0,Sudeste,Masculino,Intermediario,Cobertura Ruim
21.0,8904.0,297.0,Norte,Masculino,Basico,Cobertura Ruim
44.005,16058.0,278.0,Sul,Masculino,Basico,Preco Alto
23.0,1945.0,94.0,Sul,Feminino,Premium,Cobertura Ruim
68.0,7598.0,347.98,Nordeste,Masculino,Premium,Preco Alto
33.565,6191.91,179.0,Sul,Masculino,Intermediario,Atendimento Ruim
66.0,6974.1,346.0,Sudeste,Feminino,Basico,Preco Alto
61.0,15792.0,223.0,Centro-Oeste,Feminino,Intermediario,Atendimento Ruim
42.19,9967.0,382.0,Sul,Feminino,Intermediario,Atendimento Ruim
36.0,9252.925,470.0,Nordeste,Feminino,Premium,Atendimento Ruim
62.0,10758.305,428.0,Norte,Feminino,Basico,Preco Alto
27.0,3532.0,260.0,Norte,Feminino,Intermediario,Cobertura Ruim
28.0,1736.0,192.88,Sudeste,Masculino,Intermediario,Atendimento Ruim
46.825,19730.0,244.605,Sul,Masculino,Premium,Cobertura Ruim
47.755,5733.0,324.0,Norte,Masculino,Premium,Preco Alto
70.0,8291.385,233.0,Sudeste,Masculino,Basico,Preco Alto
70.0,2077.0,260.0,Sul,Feminino,Intermediario,Cobertura Ruim
47.61,7257.37,216.045,Nordeste,Feminino,Basico,Atendimento Ruim
41.1,10461.0,267.0,Nordeste,Feminino,Intermediario,Atendimento Ruim
23.0,7974.0,216.79,Nordeste,Feminino,Intermediario,Preco Alto
37.0,3954.0,224.0,Sudeste,Masculino,Intermediario,Atendimento Ruim
32.0,8813.75,263.0,Norte,Masculino,Basico,Atendimento Ruim
69.0,2699.0,473.0,Sudeste,Feminino,Basico,Preco Alto
19.0,8403.0,306.0,Norte,Feminino,Premium,Cobertura Ruim
36.875,9082.19,226.0,Norte,Masculino,Intermediario,Atendimento Ruim
39.805,10767.0,137.0,Norte,Outro,Premium,Cobertura Ruim
59.0,3290.0,230.63,Sudeste,Masculino,Basico,Preco Alto
35.0,8514.0,255.0,Sudeste,Feminino,Intermediario,Atendimento Ruim
29.0,2957.0,102.0,Centro-Oeste,Masculino,Intermediario,Preco Alto
42.645,14331.71,245.275,Nordeste,Masculino,Premium,Atendimento Ruim
50.645,5781.0,311.115,Sudeste,Masculino,Basico,Preco Alto
42.0,13823.0,235.0,Nordeste,Feminino,Intermediario,Cobertura Ruim
25.0,8515.235,248.26,Nordeste,Masculino,Intermediario,Cobertura Ruim
38.97,18405.0,153.0,Norte,Feminino,Premium,Preco Alto
34.2,18020.0,216.0,Sul,Masculino,Intermediario,Cobertura Ruim
26.0,13026.0,223.0,Norte,Masculino,Basico,Cobertura Ruim
42.83,14182.0,52.0,Nordeste,Masculino,Basico,Cobertura Ruim
46.66,10488.0,420.0,Nordeste,Feminino,Basico,Cobertura Ruim
46.0,8075.805,281.985,Centro-Oeste,Masculino,Intermediario,Cobertura Ruim
51.99,10292.0,326.0,Sudeste,Masculino,Premium,Atendimento Ruim
66.0,5273.0,448.0,Sul,Masculino,Basico,Atendimento Ruim
27.0,7673.26,195.0,Sudeste,Masculino,Premium,Cobertura Ruim
50.0,9215.0,277.055,Norte,Masculino,Basico,Atendimento Ruim
38.0,9084.525,103.0,Nordeste,Masculino,Basico,Atendimento Ruim
46.56,6469.0,294.0,Norte,Feminino,Basico,Preco Alto
43.0,3129.0,264.0,Norte,Feminino,Premium,Cobertura Ruim
31.0,7145.0,402.0,Nordeste,Feminino,Intermediario,Cobertura Ruim
41.0,19067.0,259.0,Sudeste,Feminino,Intermediario,Preco Alto
18.0,4034.0,178.44,Norte,Masculino,Basico,Cobertura Ruim
41.0,11100.0,402.0,Norte,Masculino,Premium,Atendimento Ruim
20.0,11825.645,251.0,Norte,Masculino,Premium,Cobertura Ruim
32.0,6091.0,297.11,Sudeste,Masculino,Basico,Cobertura Ruim
36.0,17157.0,276.0,Sul,Feminino,Basico,Cobertura Ruim
37.0,10925.15,140.0,Norte,Feminino,Premium,Cobertura Ruim
22.0,5619.0,143.57,Nordeste,Masculino,Premium,Preco Alto
52.345,2569.0,267.515,Nordeste,Masculino,Premium,Cobertura Ruim
52.0,3584.0,248.0,Sul,Feminino,Premium,Preco Alto
20.0,5958.0,70.0,Sul,Masculino,Intermediario,Atendimento Ruim
56.0,8566.3,73.0,Sudeste,Feminino,Intermediario,Preco Alto
68.0,13268.305,219.0,Sul,Feminino,Premium,Preco Alto
18.0,18146.0,354.0,Norte,Masculino,Premium,Cobertura Ruim
29.0,3619.0,213.0,Sudeste,Feminino,Intermediario,Preco Alto
45.0,19235.0,261.545,Sudeste,Feminino,Intermediario,Cobertura Ruim
50.12,5043.0,422.0,Nordeste,Masculino,Basico,Cobertura Ruim
37.495,10695.0,484.0,Sudeste,Feminino,Premium,Preco Alto
35.0,2203.0,218.0,Norte,Feminino,Basico,Atendimento Ruim
34.0,5120.0,106.0,Sudeste,Masculino,Intermediario,Cobertura Ruim
18.0,3992.0,201.0,Nordeste,Masculino,Intermediario,Cobertura Ruim
33.0,1363.0,397.0,Norte,Feminino,Intermediario,Cobertura Ruim
30.0,3307.0,278.0,Sudeste,Masculino,Basico,Preco Alto
37.555,9624.785,229.0,Sudeste,Feminino,Intermediario,Preco Alto
26.0,6264.0,214.0,Sudeste,Feminino,Intermediario,Atendimento Ruim
